Film;Opening Weekend;Worldwide Gross;Budget
The Fifth Estate;1673351;8555008;28
Parker;7008222;46216641;35
The To-Do List;1579402;3566225;1.5
Grown Ups 2;41508572;246984278;80
After Earth;27520040;243843127;130
Captain Phillips;25718314;216485837;55
Escape Plan;9885732;133375335;50
Prisoners;20817053;122126687;46
Stoker;160547;12077441;12
Walking with Dinosaurs;7091938;113191563;80
Love is All You Need;36746;10016934;5.5
The Kings of Summer;58962;58962;2
Iron Man 3;174144585;1215439994;200
Despicable Me 2;83517315;964761265;76
THG: Catching Fire;158074286;855895310;130
The Desolation of Smaug;73645197;847326338;225
Frozen;243390;810399011;150
Fast & Furious 6;97375245;788679850;160
Monsters University;82429469;743559607;200
Gravity;55785112;688508962;100
Man of Steel;116619362;668045518;225
Thor: The Dark World;85737841;632909243;170
The Croods;43639736;587204668;135
World War Z;66411834;540007876;190
Oz The Great & Powerful;79110453;493311825;215
Star Trek Into Darkness;70165559;467365246;190
The Wolverine;53113752;414828246;120
Pacific Rim;37285325;411002906;190
G.I. Joe: Retaliation;40501814;375740705;130
The Hangover Part III;41671198;362000072;103
Now You See Me;29350389;351723989;75
The Great Gatsby;50085185;351040419;105
The Smurfs 2;17548389;347545360;105
The Conjuring;41855326;318000141;20
A Good Day to Die Hard;24834845;304654182;92
Oblivion;37054485;286168572;120
Elysium;29807393;286140700;115
Turbo;21312625;282570682;135
We're the Millers;26419396;269994119;37
Epic;33531068;268426634;100
The Lone Ranger;29210849;260502115;215
Cloudy with a Chance of Meatballs 2;34017930;257770505;78
The Heat;39115043;229930771;43
Hansel & Gretel;19690956;225703475;50
Planes;22232291;219788712;50
White House Down;24852258;205366737;150
Percy Jackson: Sea of Monsters;14401054;199849423;90
Jack the Giant Slayer;27202226;197687603;195
The Wolf of Wall Street;18361578;175608822;100
Identity Thief;34551025;173965010;35
The Secret Life of Walter Mitty;12765508;169042680;90
Lee Daniels' The Butler;24637312;167708305;30
Anchorman 2;26232425;165503339;50
American Hustle;740455;162399951;40
Insidious Chapter 2;40272103;161503032;5
Olympus Has Fallen;30373794;161025640;70
Bad Grandpa;32055177;149003019;15
Mama;28402310;146428180;15
Red 2;18048422;142078971;84
2 Guns;27059130;131940411;61
12 years a slave;923715;128180178;20
This is the End;20719162;126041322;32
47 Ronin;9910310;121755840;175
Last Vegas;16334566;117741847;28
Warm Bodies;20353967;116980662;35
Ender's Game;27017351;112231473;110
Gangster Squad;17070347;105200903;60
Riddick;19030375;98337295;38
Evil Dead;25775847;97542952;17
42;27487144;27487186;40
Blue Jasmine;612064;94801545;18
Lone Survivor;90872;90872;40
The Internship;17325307;93492844;58
Saving Mr. Banks;413373;91258310;35
Free Birds;15805237;90835490;55
The Mortal Instruments: City of Bones;9336957;90565421;60
Rush;187289;90247624;38
The Purge;34058360;89328627;3
Pain and Gain;20244505;86175291;26
Philomena;128435;84867664;12
Carrie;16101552;84029257;30
Scary Movie 5;14157367;78378744;20
R.I.P.D.;12691415;78324220;130
The Best Man Holiday;30107555;71625195;17
Safe Haven;21401594;71349120;28
The Counselor;7842930;70237649;25
The Call;17118745;68572378;13
Side Effects;9303145;63372757;30
Runner Runner;7706712;62675095;30
Beautiful Creatures;7582595;60052138;60
A Haunted House;18101682;59941683;2.5
Kick-Ass 2;13332955;59556104;28
Quartet;47122;59520298;11
The Last Stand;6281433;48330757;45
The Host;10600112;48227201;40
The World's End;8811790;46089287;20
21 and Over;8754168;45582380;13
Snitch;13167607;42930462;15
Jobs;6713900;35931410;12
The Place Beyond the Pines;279457;35485608;15
August: Osage County;179302;35455421;25
Spring Breakers;263002;31724284;5
Homefront;6915241;31358898;22
Delivery Man;7944977;31331216;26
Dallas Buyers Club;260865;30845161;5
Don Jon;8677009;30450756;6
Her;260382;30365376;23
Movie 43;4805878;29926388;6
Grudge Match;7021993;29236293;40
Mandela: Long Walk to Freedom;84283;27262070;35
Dark Skies;8189166;26421747;3.5
Enough Said;232800;24418085;8
Trance;131145;24261569;20
Inside Llewyn Davis;405411;23206948;11
The Way, Way Back;552788;23198652;4.6
Baggage Claim;9031102;22456509;8.5
The Big Wedding;7591663;21819348;35
The Sapphires;38372;20423628;9
Broken City;8268908;19701164;35
The Bling Ring;214395;19145732;8
Admission;6154984;18007317;13
Fruitvale Station;386291;17025993;1
Battle of the Year;4603177;16549477;20
The Last Exorcism Part II;7728354;15179302;5
Machete Kills;3837183;15008161;12
Paranoia;3528376;13785015;35
Nebraska;140401;11720400;12
Out of the Furnace;5220288;11330849;22
Before Midnight;246914;11176469;3
Getaway;4503892;10501938;18
Black Nativity;3669530;7454185;17.5
Blue Is the Warmest Color;100316;7370529;5.5
The Spectacular Now;197415;6854611;2.5
All Is Lost;93583;6262942;8.5
Closed Circuit;2464931;5750401;19
The Company You Keep;131718;5133027;2
Oldboy;885382;4861022;30
Frances Ha;137398;4069826;7
Stand Up Guys;1486390;3310031;1.8
In a World;70541;2963902;1
The East;77031;2401510;6.5
Renoir;65194;2293798;6
Austenland;40662;2159041;4.9
The Iceman;87946;1969193;10
Girl Most Likely;694447;1378591;60
Wadjda;41253;1347747;0.25
Behind the Candelabra;n/a;2568300;23
The Butler;24637312;167743114;30
The Canyons;13351;13351;0.25
The Call;17118745;68572378;13
John Dies at the End;12467;141951;1
Lovelace;184536;184536;10